Symbol	Su	Sb	%elong 
Dimension	MPa	MPa	% 
1             	254,075	176,244	9,15075 
 
Specimen	 1 
OriginalGL	 89,326 	mm	Extenso.GL	 0 mm
Width	 12,1 	mm	Thickness	 6,3 	mm
Area	 76,23 	mm2
Number	Load	Stroke	Elong	Width
X 200msec	tf	mm	mm	mm
 1 	 ,075 	 0 	 0 	 0 
 2 	 ,08 	 ,032 	 0 	 0 
 3 	 ,08 	 ,066 	 0 	 0 
 4 	 ,085 	 ,098 	 0 	 0 
 5 	 ,085 	 ,132 	 0 	 0 
 6 	 ,09 	 ,166 	 0 	 0 
 7 	 ,095 	 ,198 	 0 	 0 
 8 	 ,1 	 ,232 	 0 	 0 
 9 	 ,105 	 ,266 	 0 	 0 
 10 	 ,11 	 ,298 	 0 	 0 
 11 	 ,11 	 ,332 	 0 	 0 
 12 	 ,115 	 ,366 	 0 	 0 
 13 	 ,125 	 ,398 	 0 	 0 
 14 	 ,13 	 ,432 	 0 	 0 
 15 	 ,135 	 ,466 	 0 	 0 
 16 	 ,14 	 ,498 	 0 	 0 
 17 	 ,15 	 ,532 	 0 	 0 
 18 	 ,155 	 ,566 	 0 	 0 
 19 	 ,16 	 ,598 	 0 	 0 
 20 	 ,165 	 ,632 	 0 	 0 
 21 	 ,175 	 ,664 	 0 	 0 
 22 	 ,185 	 ,698 	 0 	 0 
 23 	 ,19 	 ,732 	 0 	 0 
 24 	 ,2 	 ,766 	 0 	 0 
 25 	 ,21 	 ,798 	 0 	 0 
 26 	 ,22 	 ,832 	 0 	 0 
 27 	 ,23 	 ,866 	 0 	 0 
 28 	 ,24 	 ,898 	 0 	 0 
 29 	 ,25 	 ,932 	 0 	 0 
 30 	 ,26 	 ,964 	 0 	 0 
 31 	 ,27 	 ,998 	 0 	 0 
 32 	 ,28 	 1,032 	 0 	 0 
 33 	 ,29 	 1,066 	 0 	 0 
 34 	 ,3 	 1,098 	 0 	 0 
 35 	 ,31 	 1,132 	 0 	 0 
 36 	 ,32 	 1,162 	 0 	 0 
 37 	 ,335 	 1,196 	 0 	 0 
 38 	 ,345 	 1,232 	 0 	 0 
 39 	 ,355 	 1,266 	 0 	 0 
 40 	 ,37 	 1,298 	 0 	 0 
 41 	 ,38 	 1,33 	 0 	 0 
 42 	 ,395 	 1,364 	 0 	 0 
 43 	 ,41 	 1,396 	 0 	 0 
 44 	 ,425 	 1,43 	 0 	 0 
 45 	 ,44 	 1,464 	 0 	 0 
 46 	 ,46 	 1,498 	 0 	 0 
 47 	 ,48 	 1,53 	 0 	 0 
 48 	 ,5 	 1,564 	 0 	 0 
 49 	 ,52 	 1,596 	 0 	 0 
 50 	 ,545 	 1,63 	 0 	 0 
 51 	 ,565 	 1,664 	 0 	 0 
 52 	 ,585 	 1,698 	 0 	 0 
 53 	 ,61 	 1,732 	 0 	 0 
 54 	 ,63 	 1,764 	 0 	 0 
 55 	 ,65 	 1,798 	 0 	 0 
 56 	 ,67 	 1,832 	 0 	 0 
 57 	 ,695 	 1,864 	 0 	 0 
 58 	 ,72 	 1,898 	 0 	 0 
 59 	 ,74 	 1,93 	 0 	 0 
 60 	 ,765 	 1,962 	 0 	 0 
 61 	 ,79 	 1,996 	 0 	 0 
 62 	 ,81 	 2,03 	 0 	 0 
 63 	 ,84 	 2,062 	 0 	 0 
 64 	 ,88 	 2,096 	 0 	 0 
 65 	 ,915 	 2,13 	 0 	 0 
 66 	 ,955 	 2,164 	 0 	 0 
 67 	 ,995 	 2,196 	 0 	 0 
 68 	 1,035 	 2,226 	 0 	 0 
 69 	 1,08 	 2,26 	 0 	 0 
 70 	 1,115 	 2,296 	 0 	 0 
 71 	 1,155 	 2,33 	 0 	 0 
 72 	 1,19 	 2,364 	 0 	 0 
 73 	 1,23 	 2,396 	 0 	 0 
 74 	 1,265 	 2,428 	 0 	 0 
 75 	 1,3 	 2,462 	 0 	 0 
 76 	 1,335 	 2,496 	 0 	 0 
 77 	 1,375 	 2,53 	 0 	 0 
 78 	 1,405 	 2,562 	 0 	 0 
 79 	 1,445 	 2,596 	 0 	 0 
 80 	 1,48 	 2,628 	 0 	 0 
 81 	 1,52 	 2,662 	 0 	 0 
 82 	 1,555 	 2,696 	 0 	 0 
 83 	 1,59 	 2,73 	 0 	 0 
 84 	 1,62 	 2,762 	 0 	 0 
 85 	 1,655 	 2,796 	 0 	 0 
 86 	 1,68 	 2,83 	 0 	 0 
 87 	 1,71 	 2,864 	 0 	 0 
 88 	 1,73 	 2,898 	 0 	 0 
 89 	 1,75 	 2,93 	 0 	 0 
 90 	 1,765 	 2,964 	 0 	 0 
 91 	 1,775 	 2,998 	 0 	 0 
 92 	 1,785 	 3,03 	 0 	 0 
 93 	 1,79 	 3,062 	 0 	 0 
 94 	 1,795 	 3,098 	 0 	 0 
 95 	 1,8 	 3,132 	 0 	 0 
 96 	 1,805 	 3,166 	 0 	 0 
 97 	 1,805 	 3,198 	 0 	 0 
 98 	 1,81 	 3,232 	 0 	 0 
 99 	 1,815 	 3,264 	 0 	 0 
 100 	 1,815 	 3,298 	 0 	 0 
 101 	 1,815 	 3,33 	 0 	 0 
 102 	 1,82 	 3,364 	 0 	 0 
 103 	 1,82 	 3,398 	 0 	 0 
 104 	 1,825 	 3,432 	 0 	 0 
 105 	 1,825 	 3,466 	 0 	 0 
 106 	 1,83 	 3,498 	 0 	 0 
